,Word Value
sicherheitsrat,3074.9403997979857
soldat,2129.847181768467
zivilbevolker,1512.5541532211912
burgerkrieg,1466.5344108435295
friedensprozess,1292.58174484757
sudsudan,1290.0024999999353
taliban,1174.366405438869
staatengemeinschaft,1055.712674500696
zivilist,969.615285415125
trupp,934.3645418191237
sicherheitskraft,929.9620762981549
sicherheitslag,903.1291915325878
waffenstillstand,846.6469782521355
afghan,771.7392037188753
kongo,759.1497932178983
konfliktpartei,661.5455765691883
mission,660.4951429005822
friedensmission,658.9316601672031
polizist,581.2963119707929
arme,561.4699425899518
isaf,522.5353070258243
miliz,513.5475152421074
unmiss,480.0024999999747
aufstand,383.62449522203997
friedensabkomm,377.0024999999184
militar,375.4000035750106
hilfsorganisation,363.862197174536
unamid,357.1478181310184
friedenstrupp,355.99529152380694
blauhelm,348.86104891148943
kampfhandl,338.53456671260017
polizei,330.1465211607878
weltsicherheitsrat,329.78382811985796
rebell,299.02353167835895
afghanistan,287.64757840645626
krisenregion,278.2007659921644
weltgemeinschaft,260.4919180552496
tornados,254.06549280488161
kunduz,253.82171279602133
entwaffn,245.0873424664647
kriegsfuhr,238.14240443761904
zentralregier,232.35889451344187
strategiewechsel,232.00249999981517
waffenruh,225.3771456269904
militareinsatz,217.63371545881617
menschenrechtsverletz,206.3501109061429
korruption,201.98280887949917
friedensverhandl,185.24146640171017
versohnungsprozess,180.00711375120574
parlamentswahl,179.51550388801206
friedenseinsatz,178.39874817505617
fluchtlingslag,176.36169908312576
polizeiausbild,168.00249999986784
bombardier,166.15309823785026
kriegsverbrech,163.05644098012115
rebellengrupp,161.0024999999408
waffenembargo,160.22246551169414
drogenanbau,157.9934608381978
polizeimission,152.00249999989677
flugverbotszon,146.00249999985047
hindukusch,145.99384316077186
warlord,144.00249999986485
kampfeinsatz,142.69985619222587
sicherheitsverantwort,142.00249999991834
friedensvertrag,137.00058538907388
strafgerichtshof,136.48102931549735
entwicklungshelf,136.08603566735763
madch,135.5666029493435
diplomati,134.48374726731453
konfliktregion,129.4178714258803
monuc,129.00249999995674
verhandlungst,119.89675587825391
regierungsfuhr,119.8298185955207
friedensschluss,117.13943857210285
kampftrupp,115.56586525975268
schutztrupp,115.41226688547182
prasidentschaftswahl,114.94443609296847
massak,114.31685846296566
militaraktion,113.90195425285904
krisengebiet,113.01106667999944
diplomat,109.63320954270812
peacekeeping,107.00249999989718
eingreiftrupp,102.73142347528093
friedensgesprach,102.00249999984213
afghaninn,99.00249999995334
massenvergewalt,98.26044974591717
aggression,97.82892661214915
demobilisier,96.89785143600774
polizeiaufbau,96.00249999989958
eskalation,95.77399815942387
support,93.85456127624455
sonderbeauftragt,92.28907763448315
camps,92.00249999980349
nichtregierungsorganisation,89.1062806699395
regierungstrupp,88.00249999985483
abzugsperspektiv,87.00249999993648
aufbauhelf,86.28783283337535
kriegseinsatz,83.14616855495429
ostkongo,83.00249999988092
polizistinn,82.51631676211788
