,Word Value
entspann,4919.280341893471
entspannungspolit,2587.002499999873
ostpolit,2011.0024999998411
auswart,1851.6235702801441
schlussakt,1246.5555253675432
friedenspolit,1100.9543979961263
grundvertrag,854.0024999999189
isolier,841.1265736769247
viermachteabkomm,694.914957845236
ostvertrag,645.002499999843
formeln,618.2977977413568
weltmacht,561.1850262523513
korb,538.0285240990993
ostblockstaat,522.9557110358548
friedenssicher,444.23296228784136
einmarsch,421.24215094773825
weizsack,420.4211378614836
koexistenz,405.0390916394134
teilnehmerstaat,387.6181979691571
grossmacht,321.9346664792274
friedensordn,261.5093580307621
staatschef,254.13267346879564
volksrepubl,234.5759898830648
bundnispartn,216.83167332464262
weltpolit,216.27100267048223
entspannungsprozess,213.00249999989347
supermacht,203.58060070818829
sowjet,203.17369438879703
unterhandl,182.0362546703879
freiheitskampf,175.65569911421665
gesellschaftssystem,173.96640371291076
mbfr,169.46399201330308
trennungslini,167.57324975346697
schlussdokument,166.3554875611849
gewaltverzicht,158.7868322427587
feindsel,152.10241005937593
volksaufstand,150.51249742810242
vertragspolit,148.681935720954
einmisch,147.6643891693186
doktrin,147.44257082486266
grenzlini,142.4850104054103
rustung,136.8947640008671
gipfelkonferenz,136.8273044831625
nachbarvolk,132.88344525486227
aggression,132.46267414376604
salt,129.77318188505274
fuhrungsmacht,129.7728015646293
selbstbehaupt,125.9263759769421
interdependenz,123.76351797324261
staatsmann,123.20902971402862
blockfreiheit,123.00478028422683
mauerbau,119.57382570430212
formelkompromiss,118.143354560165
westintegration,115.89281308970398
burgerrechtsbeweg,114.0344120561785
panz,112.43923098253283
verkrampf,110.27008108457323
einflusssphar,109.75410533344363
kurzdebatt,108.00249999970761
folgetreff,106.13552431338341
machtbereich,103.0004837246094
ksze,97.0024999998308
sicherheitskonferenz,94.92401119205522
atlant,94.76998045491041
perestroika,94.56331841279946
spannungsursach,92.37397957853179
konferenzergebnis,90.00249999982034
verdacht,88.56249693398964
gesprachsfad,88.36507073410047
leisetreterei,86.96500772819368
vertief,86.64845104394419
adenau,84.78125650376639
nachgieb,82.50908464765313
verteidigungsbundnis,81.90397023932397
gewaltanwend,81.45855295965916
realist,80.59341679112089
politburo,79.77184054379663
rechthaberei,78.93714253637515
blockfrei,77.09600215044134
charta,76.09273490577209
machtpolit,73.43740068131382
rustungsbegrenz,71.58593420085283
debattenrund,71.31526889221163
hinwend,69.22306061195462
freiheitswill,66.83391411443357
krisenherd,66.19208283648689
vitalitat,65.77510267546285
verteidigungsbereitschaft,65.54918155789446
grundauffass,63.8319649471057
okkupation,63.72930571512265
wiedergewinn,63.308634337555276
unverletz,63.15108301576814
gesellschaftssyst,62.05348228242021
sperranlag,61.13473689313341
abgrenzungspolit,61.00249999986991
alleinvertretungsanspruch,60.87291693900373
selbstvertrau,60.42542185696164
kommunismus,59.197228732945256
anziehungskraft,58.26779994152059
fehlschlag,58.14790110599092
