,Word Value
gemeind,33043.09140808322
gewerbesteu,2947.944376926803
foderalismus,2676.0522517893833
finanzausgleich,2576.0074999997396
ruhrgebiet,2157.688415385792
finanzreform,1397.838559197415
volkskamm,1307.0074999998596
finanzausstatt,1009.730874454658
finanzkraft,970.0074999996493
gebietskorperschaft,949.1094436034475
ansiedl,900.5762294777319
landerfinanzausgleich,859.0074999998598
gemeindefinanzreform,749.0074999998259
minderjahr,740.1881356169399
finanzverfass,732.451166826329
gemeindefinanz,606.0074999997915
ruhr,591.4563057371032
gemeindeverband,585.0074999998118
revi,566.197988534456
finanzsituation,549.4339385328177
sozialunion,518.0074999998166
zentralismus,485.00749999981053
stadtetag,469.60626803225307
gewerbesteuerumlag,450.96273736605883
landerparlament,435.4292088047375
landeshaushalt,435.01033939243865
strukturkris,411.069982998257
steuereinnahm,406.7277792594143
mitteldeutschland,391.57522914982127
kalend,391.0074999998087
umsatzsteu,361.72041215881524
lausitz,331.00749999986937
finanzbezieh,326.0724784626999
steuerkraft,315.03985215272286
einkommensteu,310.626416776628
bundeserganzungszuweis,310.0074999999341
finanznot,308.6241023818605
kommunalfinanz,307.00749999979064
hebesatz,306.63827708591015
foderalist,304.00749999983304
flachenland,302.9683257754883
lohnsummensteu,301.9247236940074
finanzmass,284.7165932918418
hald,266.86761094833093
staatsform,261.53487528380276
strukturprogramm,260.4781488167395
neuverteil,259.6277037934722
auftragnehm,248.71871667169006
burgerbeweg,244.0074999998182
erganzungszuweis,243.79133802417806
zurucknahm,233.64681497077493
pfarr,233.24258365764894
steueraufkomm,232.89660572616773
zerriss,232.00618240925183
gewerbesteuereinnahm,226.54124254390288
kumpel,224.24313439564204
finanzausgleichsgesetz,216.98116798815744
interessenquot,208.14180597553664
magistrat,200.99785050790712
missling,196.00749999968045
finanzverfassungsreform,195.49663643402818
staatsaufbau,192.38883378920517
kommunalpolit,188.88741246990534
landeranteil,188.3347976149556
gewerbeertragsteu,187.84252281459536
kassenkredit,187.1465721919984
hinzurechn,186.32627777241788
gewerbesteueraufkomm,186.0074999998599
sabotag,183.37095628719825
sonderlast,178.51156399290218
verfahrensregel,175.4989762479739
finanzzuweis,169.90921875498788
umsatzsteueranteil,162.38060832056362
beizeit,161.54324755358715
aktionsgemeinschaft,161.25033578971144
tagebau,157.2106446805541
kontingentier,155.84298038797948
investitionskraft,155.2727700724879
bruder,153.77688965834065
steuerverbund,150.0074999999343
steuerquell,146.12476180233503
bundesausbaugebiet,142.83993706844376
haushaltsnotlag,141.2522381702132
offenlass,140.65976425241766
zentralstaat,140.2718393229146
landgemeind,136.80754291758225
hebesatzrecht,134.8956376560138
gemeindeanteil,129.00749999993755
finanzautonomi,128.9759491697655
eigenmitteln,126.43152710393002
einnahmesituation,125.59092769193646
ausstellungsvergut,124.00749999970205
neuansiedl,122.80828075263469
parlamentssitz,122.0074999998395
absatzmog,120.92673974607914
korperschaftsteu,119.92087901707671
gemeindehaushalt,119.05061708996779
steuerverteil,118.59258791397816
schulspeis,118.00749999990046
anwort,117.6653128568978
