,Word Value
klimaschutz,10119.032499999792
umweltpolit,5740.032499999813
fahrzeug,5518.781157798764
stoff,5440.165773290243
emission,4143.032499999778
abfall,4029.0324999998534
kernkraftwerk,3192.3654682421943
klimawandel,3051.9368370067855
grenzwert,3043.0324999998165
automobilindustri,2566.032499999813
entsorg,2522.03249999983
co,2418.294230103747
emissionshandel,2384.0324999999243
umweltminist,2334.154983365851
energieeffizienz,2237.384263345534
larm,2204.032499999867
naturschutz,2195.27966091886
meer,1833.6771628681502
fluss,1764.0324999997154
gewass,1751.9568549746546
endlag,1553.0324999999493
schadstoff,1508.0324999998327
umlag,1369.703227733259
trinkwass,1334.0324999998707
bundesumweltminist,1320.0727058088555
klimapolit,1302.0324999998775
mull,1241.0324999998047
umweltausschuss,1234.382728753817
endlager,1219.0324999999375
altlast,1199.447535336109
umweltministerium,1181.3509909917743
klimaschutzziel,1181.0324999998559
umweltbundesamt,1180.032499999725
larmschutz,1118.0324999999202
umweltbelast,1081.3240243732487
fahrverbot,1076.032499999916
chemikali,992.0324999998642
gebaudesanier,988.5543847003863
sicherheitsstandard,987.082182725942
grundwass,981.0324999998776
zertifikat,967.1118257286113
abwass,950.0324999998735
fischerei,913.1225047218519
bundesumweltministerium,910.0324999997176
verpack,869.8064570370941
klimaziel,865.0324999998834
waldsterb,864.9980128090808
pflanzenschutzmittel,863.0324999999527
atommull,851.0324999999181
umweltvertraglichkeitspruf,829.3340442450317
brennelement,809.0324999999428
katalysator,808.0324999998189
ausstoss,806.668481591598
zwischenlag,787.0324999999478
kohlekraftwerk,761.6672938733692
diesel,753.75365429686
klimaschutzpolit,752.0324999998895
pflanzenschutzmitteln,750.0324999999448
wasserhaushaltsgesetz,748.0324999999202
verpackungsverordn,740.0324999999589
umweltfrag,737.0324999997708
wiederaufarbeit,735.4120823064897
verursacherprinzip,727.3779418079376
gorleb,724.0324999999432
bundesnaturschutzgesetz,723.0324999999198
umweltschad,719.1519520557652
anwohn,694.0324999999076
pestizid,692.0324999999257
klaranlag,682.0324999998762
umweltproblem,681.7007406592113
immissionsschutzgesetz,675.0324999998061
glas,674.8013658464464
gewasserschutz,660.0324999998708
luftreinhalt,659.4277335802431
regenwald,650.0732566720851
sachzusammenhang,640.9765571855166
umweltbereich,633.988801038628
umweltministerin,633.4920676551576
lager,619.463883258085
fluglarm,602.0122929197795
verbrenn,596.9294543945449
anleit,586.3360565208421
verbandsklag,585.0324999998793
verschmutz,583.0324999998196
klimakonferenz,578.0324999998857
treibhausgas,578.0324999998603
schacht,577.0453462525693
pflanz,574.3970095161048
artenschutz,565.0324999999185
oko,565.0324999998381
autos,564.1254617905543
wohngebiet,561.3188057529135
messung,559.5823416585774
stickoxid,558.0324999999375
abfallwirtschaft,554.0324999998745
larmbelast,552.0324999998965
kohleausstieg,551.0324999999073
erkund,551.0324999998916
nachrust,546.4972995200008
streumunition,525.0324999999323
