,Word Value
beamt,20981.007499999796
zulag,1501.3315705455207
ruhestand,1252.6460590981453
beamtenrecht,1235.1345317764294
pension,1082.007499999802
beamtinn,955.0074999998808
feiertag,892.2070186603297
personalpolit,824.3320639034312
besoldungsgrupp,768.0074999998935
dienstrecht,703.5242925271959
berufsbeamtentum,668.0074999998827
versorgungsbezug,658.0276941121277
beamtenschaft,658.0074999998653
laufbahn,639.0795576627585
weihnachtsgeld,628.7372228379454
haushaltsstrukturgesetz,595.936071378889
fursorgepflicht,550.0248539663098
arbeitseinkomm,513.1896603007974
versorgungsempfang,493.00749999990455
beamtengesetz,478.0074999999193
bundesbeamtengesetz,478.0074999998951
beamtenverhaltnis,467.0074999998728
bundesbeamt,464.0074999998125
ernenn,437.93542080292497
pensionar,425.00749999983753
abgeltungsteu,424.4097508800539
dienstherr,424.38472589468324
besoldungsrecht,413.4358551850015
versetz,412.5708982424067
beamtenbesold,407.00749999984805
hartefallregel,405.6937141325688
bundesbesoldungsgesetz,390.4302731734105
kapitalertrag,369.33686734282185
beamtenrechtsausschuss,356.0074999999212
dienstherrn,342.23051207738064
nva,335.03328607692293
altersstruktur,324.5816199146804
nivellier,322.0187629808579
einmalzahl,320.07917617976995
gehaltserhoh,307.9980133731416
besoldungsordn,304.7658434912213
anstell,281.2022881565279
monatsgehalt,275.2347130131273
disziplinarverfahr,274.41771492436317
ortszuschlag,270.0074999999418
sparzwang,267.7438293974127
aussenseit,265.1497008765269
dienstzeit,258.2566561302573
grundgehalt,258.00749999991314
kapitaleinkunft,257.0074999998736
beamtenversorg,255.47817021020842
pensionskass,252.86260772875744
beamtin,230.00749999992286
beamtengehalt,226.93459717460365
besoldungserhoh,226.00749999981701
dienstbezug,224.3262550779072
dienstverhaltnis,224.0847384967036
zweifelsfrag,222.65680396009364
bundesdien,219.91018714269154
ruhegehalt,217.70672413621833
kontrollmitteil,212.99465279965602
abordn,200.7990214578274
kapitalvermog,198.7916265432604
zinsertrag,196.55017851994373
beamtenbund,189.04010680951657
nachforder,187.807590123505
versorgungsanspruch,187.35280939642772
aufbesser,186.2130418799586
sonderzahl,186.1129844577564
versorgungsluck,183.32248629436572
beamtentum,180.98436750855294
personalakt,171.34842313315477
besoldungsgesetz,165.79640917602137
beamtenrechtsrahmengesetz,155.34462364232706
beamtenversorgungsgesetz,155.0074999999318
zinseinkunft,149.91729885573466
dienstvorgesetzt,148.49627794722338
nachversicher,148.16337303732047
urlaubsgeld,147.72471929016368
besoldungsneuregelungsgesetz,146.96733061801154
versicherungsfrei,145.00749999980243
staatsdi,142.4862173741283
beamtengrupp,140.94815276473273
ausgleichsbetrag,140.03039222534946
treuepflicht,137.76088663441135
besoldungsreform,137.11641883323688
vorgesetzt,129.70450693017347
ruhestandsbeamt,128.99234484190214
stellenkegel,128.00883759740748
tarifbereich,125.63982903440447
semant,124.86977999329261
prugelknab,122.90097971203126
dienstjahr,122.88611225046458
pensionier,120.98598226927265
bruskier,120.82949428787568
dienstrechtsreform,119.95914701798901
disziplinarrecht,119.30568891955555
sitzungsfrei,115.90447703658347
dienstbehord,115.82759116468313
leistungsprinzip,115.4678427476032
