,Word Value
korruption,2661.02469112035
versohn,1989.623706251298
interessenvertret,1238.8811173892116
affar,1174.4611558978665
lobbyist,960.0049999998106
gramm,918.7939521519149
bestech,739.004999999905
biokraftstoff,613.0049999999364
wirtschaftspruf,583.4369181107235
biomass,503.5068644689328
steuerberat,490.32843482498504
misswirtschaft,481.89843263390355
verfehl,481.3774681606043
zertifizier,473.8435012890515
lobbyismus,429.00499999988006
sumpf,424.00499999973346
geldgeb,375.61349219926296
amtstrag,329.53154276265826
korruptionsbekampf,289.2723979408883
abgeordnetenbestech,287.0049999999409
dienstwag,285.00499999981815
anzeigepflicht,274.9874677112111
umfrageergebnis,240.00499999970393
hinterzimm,221.00499999980815
abschlusspruf,212.82639762829368
hauptfrag,202.60448289182702
verbandsvertret,193.0049999998031
schmiergeld,191.0049999998763
aufbewahrungsfrist,185.00499999990544
bvvg,174.64016991665332
beimisch,173.60218478324202
biodiesel,168.00499999992002
konditionier,159.52242628505132
wirtschaftsstrafgesetz,158.8273307254262
lobbyarbeit,158.00499999983475
wolkenkuckucksheim,151.81455133449742
vordruck,148.67865363332774
wirtschaftsrecht,147.0996199132733
verschwieg,140.60070752937915
dankenswerterweis,133.93409364066807
wirtschaftsprufungsgesellschaft,132.0049999998743
mitschreib,128.9390935668355
aktionsbundnis,125.36662040292903
schweinsgalopp,122.00499999980119
qualitatskontroll,121.93057027537266
lobbygrupp,109.02504727634783
lauter,107.68656695832324
express,102.94829963474149
filz,101.94729525925744
korruptionsregist,100.00499999996701
ideenwettbewerb,100.004999999815
lobbyistenregist,99.0049999999843
verschwiegenheitspflicht,97.92930100734533
auffind,97.1241655717373
korruptionsfall,97.00499999991597
einzelgesprach,96.57324898732013
kostenanstieg,95.47669157226942
anekdot,93.95406531853868
totalausfall,93.00499999978034
oberschicht,87.97180493388308
registrierungspflicht,86.00499999982591
ankundigungspolit,84.85510163775928
gewinnverlager,84.70988616888195
zertifizierungssystem,83.00499999989783
bestechungsgeld,81.004999999904
verfahrensgesetz,79.1129776378867
ides,78.68534538931318
lohnunterlag,78.00499999996117
geldzahl,77.86837855211166
fristablauf,77.31609717248084
aquivalent,76.4311557715621
trojan,74.00499999989152
besiedl,72.18881296458025
judikativ,70.70623165542581
basisjahr,69.23443654941063
kraftstoff,68.0392390713422
nachhaltigkeitsverordn,68.00499999995982
schlepptau,62.82277759868323
wirtschaftsstrafrecht,62.14323748243269
regionalfond,61.844957301968655
ethanol,61.00499999994029
schmiergeldzahl,59.00499999990476
buchpruf,58.004999999903106
marathonlauf,54.64811761820851
existenzbedroh,53.975289451669006
cancún,52.004999999899105
vertrauensvoll,51.798180084251086
schwerpunktstaatsanwaltschaft,51.480424637406564
selbstausbeut,50.26078023588908
kvae,50.004999999825976
transparenzgebot,49.97163530081375
listenpreis,49.322908996175094
kompensationsregel,48.00499999983698
dauerstreit,47.65932508344535
belad,47.416882936815426
bioethanol,47.00499999989754
millionenbereich,46.79200541274578
besuchsrecht,46.57507367792968
finanzpaket,45.93087860217128
lagebeschreib,45.489340994276034
