,Word Value
kernenergi,8599.034999999822
naturschutz,8537.787839081084
reaktorsich,7126.034999999967
energiepolit,6451.034999999814
strom,5910.034999999762
energieversorg,4980.766636080446
energiew,4724.781760554857
technikfolgenabschatz,4302.034999999906
aussteig,4084.7897413800188
bergbau,3405.0349999998666
kraftwerk,3289.9221297707268
atomkraftwerk,2801.0349999999085
atomenergi,2731.034999999853
stadtentwickl,2697.323168763656
steinkohl,2693.034999999844
ol,2676.0349999997784
gas,2626.0349999997925
genehmigungsverfahr,2403.034999999809
energietrag,2053.713698247744
kernkraftwerk,2025.7020317576705
lit,1873.401132451823
verbraucherschutz,1840.3425981641512
benzin,1708.2900951244706
strompreis,1659.034999999888
reaktor,1651.034999999887
energieeinspar,1502.2441756403607
energiewirtschaft,1436.165560608609
tourismus,1364.72876122168
atomkraft,1355.0349999998846
bergleut,1353.034999999894
versorgungssich,1343.1713401011648
braunkohl,1330.0318048622282
go,1269.7218661070824
heizol,1259.3251796952843
erdgas,1254.0349999998534
stromerzeug,1248.4104809180812
energiepreis,1241.4993017907436
brut,1121.0349999999246
energiequell,1099.5380714836574
elektromobilitat,1093.0349999999332
energieprogramm,1089.0349999999069
energieverbrauch,1000.8230841448556
kraftstoff,1000.0007609284755
tankstell,973.0349999999019
atomgesetz,940.8891273804368
atomausstieg,928.6300704898409
bundesnetzagentur,919.4593537346437
kohlekraftwerk,916.4002061264533
kilowattstund,915.0349999999112
neuwahl,909.6530555140408
erdol,898.0349999998061
stadtwerk,894.03499999991
netzausbau,871.0349999999479
steinkohlenbergbau,847.0349999998953
stromversorg,846.0349999997425
energieversorgungsunternehm,764.8124100554904
kernkraft,745.0349999998309
wasserstoff,733.0349999999031
energiekost,727.6117924926295
plutonium,723.0349999999142
energiekonzept,722.8903278396936
uran,722.3351047678026
inbetriebnahm,722.3281393787372
energiemarkt,708.2964937167593
zusatzpunktlist,685.6438727095709
storfall,679.4533102185769
bergarbeit,667.0349999998797
energieerzeug,665.9545525514185
megawatt,660.5884875771264
laufzeitverlanger,659.0349999999248
energiewirtschaftsgesetz,646.0349999998542
genehmigungsbehord,632.6255875325387
netzneutralitat,623.0349999999281
stromverbrauch,621.7964066322011
brennstoff,612.8791565656978
energiebereich,591.666821498228
warm,589.3291468475363
kohlepolit,582.034999999901
duldung,578.658937784422
energiemix,573.280339253952
kohlepfenn,573.0349999999116
abschatz,566.1716015164936
kopplung,560.9995552642721
bergbaus,556.0349999998791
bonus,546.9447201159916
ausgleichsabgab,546.197728927205
energiebedarf,545.0001710792635
stromeinspeisungsgesetz,520.0349999999305
wiederaufarbeitungsanlag,519.0349999999131
elektrizitatswirtschaft,513.9431431434402
mineralol,501.09200382958215
energiekonzern,499.8588552789172
strommarkt,497.03499999989873
jahrhundertvertrag,496.03499999994017
verstrom,496.0349999998737
wohnungslos,492.03499999994114
wirkungsgrad,485.5403520370137
energieverwend,483.00691401463195
infrastrukturmassnahm,474.6748313863776
abschalt,473.0349999997895
