,Word Value
bahn,15358.032499999821
bundesbahn,14103.032499999772
schien,5539.032499999786
schiff,5365.03249999981
verkehrspolit,5273.032499999696
autobahn,4337.032499999846
auto,3907.0324999997956
km,3482.3168437213963
strassenbau,3420.0324999998234
eisenbahn,3411.032499999718
strassenverkehr,3262.03249999982
verkehrstrag,2942.8329116638297
maut,2721.032499999945
lkw,2650.0324999998757
verkehrsminist,2517.6416079587025
autos,2446.9395382091607
verkehrsausschuss,2395.3146992710326
haf,2297.0324999998647
pkw,2245.452532626207
bundesverkehrsminist,2233.194706938405
kust,2228.0231877406864
bundesstrass,2073.032499999931
see,2039.4434073744228
guterverkehr,1948.0324999997863
bundesverkehrswegeplan,1888.0324999998784
autofahr,1859.0324999997802
verkehrsinfrastruktur,1856.0324999997729
luftverkehr,1855.0324999998654
nahverkehr,1855.0324999997906
personennahverkehr,1834.0324999997933
verkehrssich,1648.0324999998852
konz,1584.0324999998377
bord,1514.3531383869727
bahnhof,1487.5305349045755
opnv,1306.0324999999004
bundesverkehrsministerium,1274.1229228922493
flugsicher,1243.0324999999452
flagg,1224.0324999998013
bundesfernstrass,1204.032499999845
wag,1200.9413412424
verkehrsmittel,1193.4409741503898
bahnreform,1185.0324999998497
verkehrsweg,1090.5617409408458
flug,1076.0324999998666
zweckbind,1074.585181921145
flughaf,1047.7371007878355
verkehrsministerium,994.4381815357499
binnenschiffahrt,980.7944116039255
reed,974.032499999953
bundesautobahn,922.0324999999198
marin,892.7736146785276
seeschiffahrt,881.765556814836
schienenverkehr,880.9757058568159
flugverkehr,865.0324999998656
verkehrsteilnehm,856.032499999898
personenverkehr,851.4583590064819
fernverkehr,847.7015638718552
fahrrad,809.6250371747672
verkehrshaushalt,808.6979644879432
schienennetz,805.0324999998869
pirateri,802.0324999999492
unfall,790.6879148415884
mittelme,778.0324999998788
golf,758.0625309894526
verkehrsprojekt,746.0324999997985
verkehrsbereich,736.6365389129138
strassennetz,725.0324999998219
bedarfsplan,723.0799139744864
siedlung,714.7339922818976
luftraum,689.0324999999066
bus,687.4689375194139
kraftfahr,673.0324999998664
stau,671.2130147757952
fahrgast,652.4028204278757
ortsumgeh,652.0324999998851
verkehrsunfall,637.5836334897168
schiffahrt,628.3811366222657
fuhrerschein,621.0324999998852
inseln,603.1271742234807
seeleut,597.0265354077475
reichsbahn,584.0324999998583
schienenweg,573.8514660075708
seehaf,540.0324999998431
individualverkehr,537.0324999998257
passagi,533.032499999887
bundesbahngesetz,525.851782151577
regionalisier,518.0324999998186
pirat,516.0324999999524
landstrass,512.032499999844
ag,499.81806386915184
meer,491.3878371316177
kustenland,487.9138696450712
verkehrsverhaltnis,480.32835776490543
werkfernverkehr,478.03249999995063
abmahn,474.10395223014615
guterfernverkehr,473.0126671069902
lkws,472.0324999998549
mineralolsteu,465.0489954679448
zeichnung,464.0324999998776
tarif,456.6669320161934
