,Word Value
mutt,12380.062499999796
richt,11960.701500588282
straftat,8640.058957420799
vat,8558.062499999804
verbrech,8035.06249999977
terrorismus,6982.062499999826
straf,6907.062499999667
ehe,6872.062499999906
strafrecht,5556.779649865843
mord,5507.062499999822
kriminalitat,5357.125088940215
senat,4771.062499999737
madch,4567.941546345816
anschlag,4480.062499999774
staatsanwaltschaft,4137.062499999763
terrorist,3702.062499999856
strafgesetzbuch,3664.904537924086
terror,3409.855138399994
familienpolit,2943.409811402453
ehegatt,2823.0624999998486
bundesgerichtshof,2710.0127323915826
rechtspolit,2668.062499999835
gefang,2477.0624999998818
rechtsanwalt,2443.0624999998718
stgb,2367.7808242959727
gefangnis,2360.06249999982
drog,2331.0624999999227
steuerhinterzieh,2317.062499999903
bundeskriminalamt,2247.0624999999036
freiheitsstraf,2230.0624999998654
bundesgrenzschutz,2223.062499999916
ehrenamt,2195.7215184764655
strafverfolg,2184.189152624444
sicherheitsbehord,2079.426530594138
ehefrau,2027.0624999998215
erziehungsgeld,2026.0624999998709
bundesjustizminist,1943.0624999997372
verdacht,1906.6943162015345
staatsanwalt,1906.0624999997494
senator,1840.201141505592
strafverfahr,1827.7067072715265
straftatbestand,1819.062499999803
strafprozessordn,1798.923289233122
rechtsschutz,1765.4279730657581
haft,1761.0315976149905
verjahr,1754.0624999999525
vergewalt,1722.062499999887
bundesverwaltungsgericht,1698.0624999998574
justizministerium,1670.9226310653573
beschuld,1649.4461365947984
bundesjustizministerium,1643.3979658459193
sicherungsverwahr,1637.062499999926
polizei,1619.0583237005162
elternteil,1601.0220423600204
ermittlungsverfahr,1598.0624999998176
hausfrau,1577.550049900695
landgericht,1560.0624999998481
volkermord,1463.3824374501712
therapi,1417.6997689842897
menschenhandel,1400.0624999999186
delikt,1384.062499999738
alkohol,1371.730452062848
strafbar,1354.6251605200198
angeklagt,1349.0624999997403
verwaltungsgericht,1333.910235889902
scheidung,1328.019665724567
rechtspfleg,1302.062499999823
feuerwehr,1259.0624999998356
strafvollzug,1251.0624999998665
ehepartn,1167.0624999998197
ehemann,1166.030772790303
verjahrungsfrist,1122.0624999999281
gerichtsbar,1121.9551120958363
sonderausschuss,1113.7454044321853
frauenhaus,1097.06249999995
archiv,1084.374486167481
oberlandesgericht,1064.0624999998745
haftling,1057.0624999998786
lebensgemeinschaft,1052.0624999998636
katastrophenschutz,1044.062499999931
amtsgericht,1023.0624999998313
geldstraf,1014.0624999998245
gerichtsverfahr,1013.3680280287466
rechtsfrag,1009.7463576830418
jugendschutz,1005.5621018355068
erwerbsarbeit,991.0252408913143
tabell,970.263904966481
kindererzieh,964.1018477375942
terroranschlag,955.0624999998265
erziehungsurlaub,942.0624999999466
freilass,936.0624999998831
bafin,912.2892572785976
vernehm,912.0150487361628
verbrechensbekampf,900.062499999852
hilfswerk,899.0624999998603
kronzeugenregel,898.0624999998943
abgabenordn,897.0797423564916
ehen,894.0624999998715
informationsaustausch,876.4011453927093
notig,869.0624999998145
